,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,property_valuation,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,geo_address,latitude,longitude
4004,Chickie,Brister,Male,86,1957-07-12,General Manager,Manufacturing,Mass Customer,N,Yes,14,6,0.56,0.7000000000000001,0.8750000000000001,0.74375,1,1.71875,"Strathpine, Greater Brisbane, City of Moreton Bay, 4500, Queensland, Australia",-27.303854159375,152.97218043984375
4005,Morly,Genery,Male,69,1970-03-22,Structural Engineer,Property,Mass Customer,N,No,16,11,0.89,0.89,1.1125,0.945625,1,1.71875,"North Ryde, Sydney, Council of the City of Ryde, 2113, New South Wales, Australia",-33.79226306074074,151.12716925851853
4006,Ardelis,Forrester,Female,10,1974-08-28,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,10,5,1.01,1.01,1.01,1.01,1,1.71875,"Merbein, Rural City of Mildura, 3505, Victoria, Australia",-34.17004117727272,142.0526644965909
4007,Lucine,Stutt,Female,64,1979-01-28,Account Representative III,Manufacturing,Affluent Customer,N,Yes,5,1,0.87,1.0875,1.0875,1.0875,4,1.703125,"Cranbrook, Townsville City, 4814, Queensland, Australia",-19.298387265075377,146.75864425954774
4008,Melinda,Hadlee,Female,34,1965-09-21,Financial Analyst,Financial Services,Affluent Customer,N,No,19,9,0.52,0.52,0.65,0.65,4,1.703125,"North Balgowlah, Sydney, Northern Beaches Council, 2093, New South Wales, Australia",-33.78638055408163,151.25324256938774
4009,Druci,Brandli,Female,39,1951-04-29,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,7,0.43,0.5375,0.5375,0.5375,6,1.671875,"Corinda, Greater Brisbane, 4075, Queensland, Australia",-27.542858852262466,152.97893456755477
4010,Rutledge,Hallt,Male,23,1976-10-06,Compensation Analyst,Financial Services,Mass Customer,N,No,8,7,0.4,0.4,0.4,0.34,6,1.671875,"Jerrabomberra, Queanbeyan-Palerang Regional Council, 2620, New South Wales, Australia",-35.40155569672131,149.19710846557376
4011,Nancie,Vian,Female,74,1972-12-27,Human Resources Assistant II,Retail,Mass Customer,N,Yes,10,5,0.58,0.725,0.725,0.61625,8,1.65625,"Cranbrook, Townsville City, 4814, Queensland, Australia",-19.298387265075377,146.75864425954774
4012,Duff,Karlowicz,Male,50,1972-04-28,Speech Pathologist,Manufacturing,Mass Customer,N,Yes,5,10,1.03,1.2875,1.609375,1.36796875,8,1.65625,"Bankstown, Sydney, Canterbury-Bankstown Council, 2200, New South Wales, Australia",-33.918252417714285,151.02925732228573
4013,Barthel,Docket,Male,72,1985-08-02,Accounting Assistant IV,IT,Mass Customer,N,Yes,17,5,0.84,1.05,1.05,0.8925,10,1.640625,"Coorparoo, Greater Brisbane, 4151, Queensland, Australia",-27.499806834026128,153.06190398010688
4014,Rockwell,Matson,Male,94,1995-01-01,Programmer Analyst I,Retail,High Net Worth,N,No,3,6,0.58,0.58,0.725,0.725,10,1.640625,"Coolum Beach, Sunshine Coast Regional, 4573, Queensland, Australia",-26.512425458579884,153.08597529408283
4015,Wheeler,Winward,Male,48,1999-08-30,Environmental Specialist,Manufacturing,Mass Customer,N,No,10,8,0.55,0.55,0.55,0.4675,12,1.625,"Belmont, Geelong, City of Greater Geelong, 3216, Victoria, Australia",-38.17780916218679,144.33467780546695
4016,Olag,,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,11,0.43,0.43,0.5375,0.456875,13,1.609375,"Kingsford, Eastern Suburbs, Sydney, Randwick City Council, 2032, New South Wales, Australia",-33.92413334015748,151.230309603937
4017,Melba,Spellacy,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,N,No,4,10,0.84,0.84,1.05,0.8925,14,1.59375,"Sutherland, Sydney, Sutherland Shire Council, 2232, New South Wales, Australia",-34.03018081297297,151.06119609567568
4018,Mandie,Feares,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,N,No,10,8,0.8,0.8,0.8,0.68,14,1.59375,"Everton Park, Brisbane City, 4053, Queensland, Australia",-27.400341640507786,152.99259794829774
4019,Dukie,Swire,Male,88,1954-03-31,,Manufacturing,Affluent Customer,N,Yes,5,8,0.58,0.725,0.90625,0.90625,16,1.5625,"Wollongong, Wollongong City Council, 2500, New South Wales, Australia",-34.421421881322956,150.8897878451362
4020,Marcelia,Monkleigh,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,6,0.86,1.075,1.075,0.91375,17,1.546875,"Alderley, Greater Brisbane, 4051, Queensland, Australia",-27.426154682882167,153.00336117951832
