,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,date_product_first_sold,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation
20000,,,852,,,,,,,,,,,,Andie,Bonney,Female,37.0,2000-11-04,Compensation Analyst,Financial Services,Affluent Customer,N,!@#$%^&*(),Yes,2.0,641 Waywood Lane,2336.0,NSW,Australia,7.0
20001,,,869,,,,,,,,,,,,Addia,Abels,Female,7.0,1984-03-11,Account Representative I,Financial Services,High Net Worth,N,"__ï¾(,_,*)",Yes,10.0,6712 Nova Crossing,2065.0,NSW,Australia,10.0
20002,,,1373,,,,,,,,,,,,Shaylynn,Epsley,Female,3.0,1958-09-23,Director of Sales,Financial Services,Mass Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,12.0,939 Hermina Drive,3198.0,VIC,Australia,8.0
20003,,,2074,,,,,,,,,,,,Roslyn,Rawdall,Female,90.0,1997-06-11,,Financial Services,Mass Customer,N,100,No,4.0,0442 Debra Point,2281.0,NSW,Australia,7.0
20004,,,2660,,,,,,,,,,,,Hunt,Scollard,Male,44.0,1963-11-15,,Retail,High Net Worth,N,,Yes,19.0,68128 Leroy Street,4213.0,QLD,Australia,8.0
20005,,,3229,,,,,,,,,,,,Carrol,Gheorghie,Male,69.0,1964-10-18,Sales Representative,Retail,High Net Worth,N,"__ï¾(,_,*)",Yes,6.0,2 Del Sol Circle,3012.0,VIC,Australia,1.0
20006,,,3236,,,,,,,,,,,,Edsel,Arguile,Male,37.0,1993-04-01,,Manufacturing,Mass Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,Yes,5.0,1 Roth Pass,3199.0,VIC,Australia,4.0
20007,,,3501,,,,,,,,,,,,Kayla,Alentyev,Female,63.0,1970-01-19,Operator,Telecommunications,Mass Customer,N,<img src=x onerror=alert('hi') />,Yes,18.0,16 Carberry Pass,2119.0,NSW,Australia,11.0
20008,,,3502,,,,,,,,,,,,Wilfrid,Cleaves,Male,5.0,1997-10-16,Senior Sales Associate,Retail,High Net Worth,N,0/0,Yes,3.0,12 Elgar Place,2155.0,NSW,Australia,10.0
20009,,,3503,,,,,,,,,,,,Tootsie,Rafter,Female,53.0,1979-03-12,Financial Advisor,Financial Services,Affluent Customer,N,,Yes,10.0,8749 Menomonie Point,2122.0,NSW,Australia,11.0
